step,tl_name,actions,phase,reward
25229,갑천(단),0,0,0
25230,미래부동산삼거리,0,0,0
25230,충대농대삼거리,0,0,0
25230,다솔APT삼거리,0,0,0
25230,유성구청네거리,0,7,0
25230,강변아파트삼거리,0,2,0
25230,보건환경연구원(단),0,4,0
25230,갑천네거리,0,3,0
25230,구성삼거리,0,2,0
25230,과기원삼거리,0,2,0
25230,카이스트교삼거리,0,1,0
25230,갑천(단),0,0,0
25231,미래부동산삼거리,0,0,0
25231,충대농대삼거리,0,0,0
25231,다솔APT삼거리,0,0,0
25231,유성구청네거리,0,7,0
25231,강변아파트삼거리,0,2,0
25231,보건환경연구원(단),0,4,0
25231,갑천네거리,0,4,0
25231,구성삼거리,0,2,0
25231,과기원삼거리,0,2,0
25231,카이스트교삼거리,0,1,0
25231,갑천(단),0,0,0
25232,미래부동산삼거리,0,0,0
25232,충대농대삼거리,0,0,0
25232,다솔APT삼거리,0,0,0
25232,유성구청네거리,0,7,0
25232,강변아파트삼거리,0,2,0
25232,보건환경연구원(단),0,4,0
25232,갑천네거리,0,4,0
25232,구성삼거리,0,2,0
25232,과기원삼거리,0,2,0
25232,카이스트교삼거리,0,1,0
25232,갑천(단),0,0,0
25233,미래부동산삼거리,0,0,0
25233,충대농대삼거리,0,0,0
25233,다솔APT삼거리,0,0,0
25233,유성구청네거리,0,8,0
25233,강변아파트삼거리,0,2,0
25233,보건환경연구원(단),0,4,0
25233,갑천네거리,0,4,0
25233,구성삼거리,0,2,0
25233,과기원삼거리,0,2,0
25233,카이스트교삼거리,0,1,0
25233,갑천(단),0,0,0
25234,미래부동산삼거리,0,0,0
25234,충대농대삼거리,0,0,0
25234,다솔APT삼거리,0,0,0
25234,유성구청네거리,0,8,0
25234,강변아파트삼거리,0,2,0
25234,보건환경연구원(단),0,4,0
25234,갑천네거리,0,5,0
25234,구성삼거리,0,2,0
25234,과기원삼거리,0,2,0
25234,카이스트교삼거리,0,1,0
25234,갑천(단),0,0,0
25235,미래부동산삼거리,0,0,0
25235,충대농대삼거리,0,1,0
25235,다솔APT삼거리,0,0,0
25235,유성구청네거리,0,8,0
25235,강변아파트삼거리,0,2,0
25235,보건환경연구원(단),0,4,0
25235,갑천네거리,0,5,0
25235,구성삼거리,0,2,0
25235,과기원삼거리,0,2,0
25235,카이스트교삼거리,0,1,0
25235,갑천(단),0,0,0
25236,미래부동산삼거리,0,1,0
25236,충대농대삼거리,0,1,0
25236,다솔APT삼거리,0,1,0
25236,유성구청네거리,0,0,0
25236,강변아파트삼거리,0,2,0
25236,보건환경연구원(단),0,4,0
25236,갑천네거리,0,5,0
25236,구성삼거리,0,2,0
25236,과기원삼거리,0,2,0
25236,카이스트교삼거리,0,1,0
25236,갑천(단),0,0,0
